function_type,name,return_type,param_names,param_types,description
aggregate,uniq,UInt64,,,"Approximate number of different values using HyperLogLog."
aggregate,uniqExact,UInt64,,,"Exact number of different values."
aggregate,groupArray,Array,,,"Creates an array of argument values."
aggregate,groupUniqArray,Array,,,"Creates an array from unique argument values."
aggregate,sum,numeric,,,"Calculates the sum."
aggregate,avg,Float64,,,"Calculates the average."
aggregate,min,same_as_input,,,"Calculates the minimum."
aggregate,max,same_as_input,,,"Calculates the maximum."
aggregate,count,UInt64,,,"Counts the number of rows."
aggregate,median,Float64,,,"Calculates the median value."
aggregate,quantile,Float64,level,Float64,"Computes the approximate quantile of a numeric data sequence."
aggregate,stddevPop,Float64,,,"Calculates the population standard deviation."
aggregate,stddevSamp,Float64,,,"Calculates the sample standard deviation."
aggregate,varPop,Float64,,,"Calculates the population variance."
aggregate,varSamp,Float64,,,"Calculates the sample variance."
aggregate,any,same_as_input,,,"Selects the first encountered value."
aggregate,anyLast,same_as_input,,,"Selects the last encountered value."
aggregate,argMin,same_as_input,arg|val,,"Returns the arg value for a minimum val value."
aggregate,argMax,same_as_input,arg|val,,"Returns the arg value for a maximum val value."
scalar,rand,UInt32,,,"Returns random number."
scalar,rand64,UInt64,,,"Returns random 64-bit number."
scalar,e,Float,,,"Returns value of e."
scalar,pi,Float,,,"Returns the value of π (pi)."
scalar,yesterday,Date,,,"Returns yesterday's date."
scalar,today,Date,,,"Returns today's date."
scalar,now,DateTime,,,"Returns current date and time."
scalar,now64,DateTime64,,,"Returns current date and time with microseconds precision."
scalar,sleep,UInt8,seconds,UInt64,"Pauses execution for a specified number of seconds."
scalar,toYear,UInt16,date,Date,"Converts a date or datetime to a year number."
scalar,toQuarter,UInt8,date,Date,"Converts a date or datetime to a quarter number (1-4)."
scalar,toMonth,UInt8,date,Date,"Converts a date or datetime to a month number (1-12)."
scalar,toDayOfYear,UInt16,date,Date,"Converts a date or datetime to the number of the day of the year (1-366)."
scalar,toDayOfMonth,UInt8,date,Date,"Converts a date or datetime to the number of the day of the month (1-31)."
scalar,toDayOfWeek,UInt8,date,Date,"Converts a date or datetime to the number of the day of the week (Monday is 1, Sunday is 7)."
scalar,toHour,UInt8,datetime,DateTime,"Converts a datetime to the hour number (0-23)."
scalar,toMinute,UInt8,datetime,DateTime,"Converts a datetime to the minute number (0-59)."
scalar,toSecond,UInt8,datetime,DateTime,"Converts a datetime to the second number (0-59)."
scalar,toWeek,UInt8,date,Date,"Returns the week number for date or datetime."
scalar,toStartOfYear,Date,date,Date,"Rounds down a date or datetime to the first day of the year."
scalar,toStartOfQuarter,Date,date,Date,"Rounds down a date or datetime to the first day of the quarter."
scalar,toStartOfMonth,Date,date,Date,"Rounds down a date or datetime to the first day of the month."
scalar,toStartOfWeek,Date,date,Date,"Rounds down a date or datetime to the first day of the week (Monday)."
scalar,toStartOfDay,DateTime,datetime,DateTime,"Rounds down a datetime to the start of the day."
scalar,toStartOfHour,DateTime,datetime,DateTime,"Rounds down a datetime to the start of the hour."
scalar,toStartOfMinute,DateTime,datetime,DateTime,"Rounds down a datetime to the start of the minute."
scalar,toMonday,Date,date,Date,"Rounds down a date or datetime to the nearest Monday."
scalar,toTime,DateTime,datetime,DateTime,"Converts a datetime with date to a datetime that only has time."
scalar,toDate,Date,value,,"Converts argument to Date data type."
scalar,toDateTime,DateTime,value,,"Converts argument to DateTime data type."
scalar,toString,String,value,,"Converts argument to String data type."
scalar,toInt8,Int8,value,,"Converts argument to Int8 data type."
scalar,toInt16,Int16,value,,"Converts argument to Int16 data type."
scalar,toInt32,Int32,value,,"Converts argument to Int32 data type."
scalar,toInt64,Int64,value,,"Converts argument to Int64 data type."
scalar,toUInt8,UInt8,value,,"Converts argument to UInt8 data type."
scalar,toUInt16,UInt16,value,,"Converts argument to UInt16 data type."
scalar,toUInt32,UInt32,value,,"Converts argument to UInt32 data type."
scalar,toUInt64,UInt64,value,,"Converts argument to UInt64 data type."
scalar,toFloat32,Float32,value,,"Converts argument to Float32 data type."
